Number;Speaker;Start time;End time;Duration;Text
0;Speaker 1;00:01:37.190;00:01:37.740;00:00:00.550;"Hello?"
1;Speaker 2;00:01:39.810;00:01:53.380;00:00:13.570;"Sorry, I have the sound off. I still don't hear you, but it might be on my end. Let me check."
2;Speaker 1;00:02:13.790;00:02:15.530;00:00:01.740;"Hi, Maryanne. Do you hear me now?"
3;Speaker 2;00:02:15.630;00:02:17.330;00:00:01.700;"Hi. Yeah, I can hear you now."
4;Speaker 1;00:02:17.490;00:02:34.300;00:00:16.810;"Great. Okay. Thank you for participating the interview. I really appreciate it. Oh, yeah. Should we get started? First of all, can you do this?"
5;Speaker 2;00:02:34.990;00:02:35.460;00:00:00.470;"Okay."
6;Speaker 1;00:02:35.540;00:02:39.650;00:00:04.110;"So do you mind if I record this pilot interview?"
7;Speaker 2;00:02:40.450;00:02:42.640;00:00:02.190;"I think it's already recording, but yes."
8;Speaker 1;00:02:44.350;00:02:56.090;00:00:11.740;"Thank you. And can you do this survey quickly before I ask interpret questions? I will share it on the chat."
9;Speaker 2;00:02:56.590;00:02:57.340;00:00:00.750;"Okay."
10;Speaker 1;00:03:00.890;00:03:06.080;00:00:05.190;"And let me know if you have any questions with the survey. Questions?"
11;Speaker 2;00:03:07.790;00:03:09.270;00:00:01.480;"Yeah. It's just setting."
12;Speaker 1;00:03:09.890;00:03:10.640;00:00:00.750;"Sure."
13;Speaker 2;00:03:26.550;00:03:41.090;00:00:14.540;"Okay. Because, I mean, I really just did the internship. Just say one year."
14;Speaker 1;00:03:41.260;00:03:41.980;00:00:00.720;"Yeah."
15;Speaker 2;00:03:43.210;00:04:05.690;00:00:22.480;"Okay. I'm not sure if counts as a big or mid sized firm. I guess it's about 750 employees."
16;Speaker 1;00:04:07.690;00:04:10.300;00:00:02.610;"I think maybe mid site firm."
17;Speaker 2;00:04:10.450;00:04:45.320;00:00:34.870;"Okay. For collaborations that you collaborate with, this is, I guess, more feedback than anything else. But I would include project managers there as well, which are different than project managers. Right."
18;Speaker 1;00:04:47.390;00:04:48.270;00:00:00.880;"Pardon?"
19;Speaker 2;00:04:49.850;00:04:57.090;00:00:07.240;"In industry, especially in tech industry, you have here UI designers, developers and project managers."
20;Speaker 1;00:04:57.200;00:04:57.860;00:00:00.660;"Yes."
21;Speaker 2;00:04:58.550;00:05:06.380;00:00:07.830;"And in industry, you do work with project managers? Sometimes, but you'll also work with product managers. Thank you."
