Number;Speaker;Start time;End time;Duration;Text
0;Speaker 1;00:00:03.310;00:00:35.340;00:00:32.030;"So before we start, I'm going to share a link to one survey and please fill the survey first. Give me a second. I'm going to share the link on the chat. And also if you have any questions, just let me know."
1;Speaker 2;00:00:35.540;00:00:48.940;00:00:13.400;"Yeah. Cool. So you want me to fill out the survey right now?"
2;Speaker 1;00:00:49.080;00:00:49.760;00:00:00.680;"Yes."
3;Speaker 2;00:02:48.790;00:02:59.030;00:00:10.240;"Can you elaborate a little bit more on the question? Are there any interruptions that hinder you from conducting qualitative data analysis with scrutiny?"
4;Speaker 1;00:03:01.610;00:03:36.740;00:00:35.730;"When I had pilots to do with other participants, they mentioned because of like time constraints or because of lack of collaborators. So scrutiny means it's difficult to go over your raw data by line or instead you just watch video of the recorded user study or because you have so much meeting, it's difficult to focus on analysis work. "
5;Speaker 2;00:03:37.360;00:03:38.300;00:00:00.940;"That makes sense."
6;Speaker 1;00:03:38.440;00:03:39.320;00:00:00.880;"Thank you."
7;Speaker 2;00:04:37.770;00:04:39.720;00:00:01.950;"Okay, I just filled it out."
8;Speaker 1;00:04:40.170;00:04:52.110;00:00:11.940;"Thank you so much. Then can you briefly describe what was your role as a researcher at the company that you worked? Yeah."
9;Speaker 2;00:04:52.170;00:05:45.990;00:00:53.820;"So I worked as a design research/engineering intern at this company. It was actually a textiles company and they were interested at the time in moving into the smart textiles area. And so I was hired to do product development. So it was largely exploratory in the sense that they were interested in doing smart textiles. But we're like, wait, what are the potential for what potential applications can we do? So I was on a team with some other UI design people and then also an engineer and so we pretty much like  did the initial the whole product design pipeline."
10;Speaker 1;00:05:48.330;00:07:22.260;00:01:33.930;"Thank you. Now I'm going to share a link to a Google slide and there I'm going to ask you to make a simple diagram showing you the timeline of how your team developed a product. Okay. I shared the link to the chat. Okay. So if you see the Google slide, the first one is an example of other participants who drew her general pipeline she followed when she was developing a product. And the second one is also an example of the same diagram from the other participant. And on that page three, you can use shapes and arrows to make your own diagram. Okay. And also please include your user research part and show me like where it is located within the process."
11;Speaker 2;00:07:22.950;00:07:23.700;00:00:00.750;"Okay."
12;Speaker 1;00:07:24.690;00:07:25.620;00:00:00.930;"Thank you."
13;Speaker 2;00:08:04.530;00:08:22.920;00:00:18.390;"You want me to talk through as I'm typing? I guess what I'm also curious about because you're doing a pilot study, it's also like, let me know if there's things that I can do to help you figure out the event because as you're running."
14;Speaker 1;00:08:26.470;00:08:47.010;00:00:20.540;"I think you can elaborate while you make the diagram. Yeah, let's do that. Because before I ask question after the participant finished their diagram. But I think it's also helpful if I listen while you make a diagram."
15;Speaker 2;00:08:47.330;00:09:59.570;00:01:12.240;"Okay, sounds good. So the first thing I put here is initial brainstorm on topic area and I remember this was, like we were deciding because there's, like, so many different applications that we could do. This was like, are we working in a medical context? Are we going to be building for a home context? Because we're like, how do we even recruit users or interviews before? Because talking to someone who works in the medical field is very different than talking to somebody who works at home. So then we did interviews to understand user needs and I believe we went we decided to focus on home context."
16;Speaker 1;00:10:00.070;00:12:36.180;00:02:36.110;"And so we were just like, talking to people who look for people who own their homes, who rented try to get like, a diverse set of people who, in a way, it was easy because we're like, do you live in a home? So in a way, a lot of people fit into who we wanted to interview. But then at the same time, you also wanted to represent, in this case, like, represent a diverse array of opinions or not opinions, diverse array of responses. So that was probably like the trickier part. And then brainstorm design idea generation. Maybe I can make these. And then we worked on some initial prototypes. And I'm going to add this box here to say, like, all throughout had meetings with management. I was going to say, you're like the product directors because they gave us feedback and also were like, oh, you know, the people who worked at the I think they were like the ones who, I think started the smart tech style initiatives to kind of get their feedback on kind of like, what the. So I think what was interesting was that it was like a company that wasn't necessarily a tech company."
17;Speaker 1;00:12:37.650;00:14:55.090;00:02:17.440;"This was more of like a company. I mean, textiles are like a form of technology. So in a way. But it was a company that was pivoting more towards IoT development or more like smart devices that wasn't like, versus if it was like intel or another company. In a way, their way of product design and development, I think was also different because in that case, it was like, if you're developing towels or linens, you're not necessarily like, it's just like, different. It's a little bit more straightforward in some sense. All right. And then after initial prototypes, we did some, like, user testing. And I would say this is like, all. And then after that, I'm sure it was like the design reiterations. And I think around the same time, we had a team member who was doing more of a financial calculations just to kind of be able to kind of like, if this went to market in this amount of time, what would the cost be? Because you're taking into account, like, the materials we use, like, development, because to go from the product prototype to it being woven out and being sold, there's like a big pipeline."
18;Speaker 1;00:14:55.140;00:16:29.280;00:01:34.140;"So kind of like financial, because then this also kind of impacted how we were thinking about the design iteration. Because when you do the user testing, there's always like, oh, well, what if it could do these ten other things, right? Let's make the most magical thing ever so that I can do all these things. But then it's like when you have someone who's, like, doing the actual financial stuff or even just like, it's this interesting moment where you're understanding the tensions between what your users are telling you and like, what the people, what you're getting the feedback on and what is actually feasible from technical and economic perspective. And then in this case, for this particular project, it was we did a final demo. I feel like this is working in the more like design research when it's like the technologies isn't quite there yet, it's usually like a final demo. I think that's about right."
19;Speaker 2;00:16:32.850;00:17:08.520;00:00:35.670;"And I think it's great to listen how you describe its process while making the diagram. I think it was really helpful, and I came up with few questions. So there are like two qualitative data in this process. Like, first one is before you come up with design idea generation, and then the second one is after you make initial prototypes. Do you think there are some differences between those two user research?"
20;Speaker 1;00:17:09.869;00:18:35.390;00:01:25.520;"Yeah, I think with the interviews, I actually really like interviews because at that point you're not even thinking about the technologies in the back of your head. Like, in the back of my head, I am in a design role, but for the most part, you're just kind of like listening and just kind of understanding certain things that come up and identifying certain things that and then I think at this stage, you don't even have to think through what your product will actually be. So in a way, it's a bit more free. And it's interesting because I think that has in certain ways impacted my own research direction in that it's like sometimes there is this pressure to especially when you're working in a more industry context, to be like, at the end of the day, you have to come up with a product or come up with a thing. Versus, I do remember when we were doing a lot of these studies or the initial interviews, people were talking had this concern around air quality. This happened in Pittsburgh, Pennsylvania, and there's actually a lot of different air quality issues in the city and with houses. There's a lot of older houses as well."
21;Speaker 1;00:18:35.450;00:19:09.620;00:00:34.170;"So then it's like all these things that I think are just really interesting and understanding, kind of like the lived experience of experiencing a place that I think was helpful. I just think it's like super interesting, but it is very fast in a way. It's very like, all right, we talk to these people and how do we kind of like distill certain concepts that can then be translatable into design ideas?"
22;Speaker 2;00:19:09.770;00:19:22.050;00:00:12.280;"I see. Do you think those interesting things you found from the initial interview are represented or included in the final project products?"
23;Speaker 1;00:19:22.230;00:19:47.520;00:00:25.290;"To an extent, yeah, I think to an extent we wound up focusing without having to get into too much details. We wound up focusing on home health. And so that was something that did take inspiration from our interviews. Yeah, I see."
24;Speaker 2;00:19:47.850;00:20:02.630;00:00:14.780;"Okay, then how about the user testing after the initial prototypes? What was the main focus of that qualitative data analysis?"
25;Speaker 1;00:20:03.670;00:21:07.180;00:01:03.510;"Yeah, we had our initial prototypes and then showing it to the people. Some of them were people that we had previously interviewed as well. And so having them walk through in a way, like it was a prototype in the sense that it looked like it could work through the person. And I feel like we even had a room set up, like a bedroom in a way, or maybe I think we settled on, like, making like a bedroom and having people come through and, like talking through, providing enough context of what the product is or how you're supposed to work with it and kind of getting recording responses and having a set or questionnaire. In a way, it was kind of like a semi structured interview and that you're just talking through what the product was."
26;Speaker 2;00:21:08.410;00:21:33.340;00:00:24.930;"Okay, then let's move on to the next page. On the next page, we were going to make a diagram about user process of qualitative data analysis that you take. And can you make a diagram for qualitative data analysis like you did for the product development process?"
27;Speaker 1;00:21:33.790;00:21:39.610;00:00:05.820;"Yeah. Cool. So this is more about the analysis."
28;Speaker 2;00:21:39.790;00:21:40.520;00:00:00.730;"Yeah."
